komentar,skor,topik
"Konten, konten dan konten, konten ini lah yg menggambarkan tidak ada dusta diantara kita, transparansi kerja pemerintahan yg dimana masyarakat kita ingin tau dan pingin tau karna ulah oknum yg selalu menyelewengkan jabatan nya untuk kepentingan pribadi atau golongan, rakyat jadi tau dan ikut pintar tidak lagi dibodohi bodohinoleh oknum yg nakal, Terimakasih KDM bapak aing 🙏🙏🙏",0.0,Tuntutan Keadilan
Gubernur jabar memang the best,0.0,Optimisme Ekonomi
Assalamualaikum waroqmatullaihi wabarokatu Cirebon hadir KDM hatur nuhun Oke lanjut. ........,0.0,Lain-lain
"mantaaap kang Dedi Mulyadi, terima kasih objektivitias harus terbangun",0.0,Lain-lain
❤❤❤❤❤KDM 🎉🎉🎉🎉🎉 Dayeuhkolot bandung hadir🎉🎉🎉❤❤❤❤❤,0.0,Lain-lain
Oknum2 keluarga desa d Garut ini harus d proses hukum nih..klo d biarkan maka rakyat akan terus d tindas oleh para pejabat laknat 😂,0.0,Tuntutan Keadilan
"Bapak aing 
Tolong bantu saya untuk meminta keadilan atas nama baik suami saya 
Yg sudah di jelekan oleh satu yayasan yg berkantor di bekasi 
Apa Krn kami pengamen y seenak jidat nya membuat nama suami saya jelek
Sehingga suami saya GK bisa kerja",0.0,Tuntutan Keadilan
"Hei said iqbal dengerin ni penjelasan dari gub aing,jgn anti terhadap kinten gub aing,agar kau cerdas dan tercerahkan otak kau.",0.0,Lain-lain
❤❤,0.0,Lain-lain
ibu ini cerdas dan paham mantap. 👍👍,0.0,Lain-lain
"Nah itu, kata kuncinya Po-li-tik berkepentingan. KDM detail dan fakta.",0.0,Lain-lain
"YANG DEMO TERUS KENA PHK, BIARIN AJA KANG, YANG GA TERIMA UMSK DI PHK BIARIN. YANG MASIH NGANGGUR PENGEN KERJA JUTAAN KANG..😊SALAM DARI SBY-JATIM",0.0,Optimisme Ekonomi
"INI GUBERNUR GILA,,, STANDAR NYA TERLALU TINGGI,,, KELIATAN BANGET KINERJANYA,,,, DOA' TERBAIK UNTUK PAK DEDY SEKELUARGA DARI SAYA PENGAMAL SHOLAWAT WAHIDIYAH KEDUNGLO AL MUNADROH 🎉🎉🎉",0.0,Kebijakan Pemprov
Sehat berkah selalu bapak KDM semoga Alloh selalu melindungi bapak...dan di Indonesia bermunculan orang 2 yg berjiwa seperti bapak KDM Aamiin 🤲❤,0.0,Lain-lain
❤❤❤❤❤,0.0,Lain-lain
"Dengerin buruh. Jgn mau jadi sapi perah si said.
Logika kdm :  klo menyimpang  pasti di babad . Berlaku untuk semua.. jagnkan buruh. Ko perushaannya gk bener bakal di tindak tegas. 
Jgn uji nyali kdm..
Tambang miik mafia2 miliurder aja disikat apalagi cuman pabrik. 
Kdm pasti adil.. 
Kalian aja ke hasut si said supaya hidup hedon",1.0,Tuntutan Keadilan
Wkwkwk said iqbal dikibulin anak buahnya hahahha,0.0,Lain-lain
Manusia yg cerdas mengutamakan ke bijaksanaan dlm permuyawatatan.belajarlah dari kegagalan jgn mau di adu domba sistim yg blm jls keabsahanya bagi yg suka demo merusak pasilitas negara.KDM sayang kita semua terus kawal urang sunda/jawa barat harudang.,0.0,Harga Pangan
Presiden buruh. Orasi nya seperti preman... Kalo aku buruh gak bakal mau ikutan demo.... Bicara nya seperti propokator.. Bukan ciri pemimpin yg baik kalo bicara nya kaya gitu,0.0,Kelayakan Upah
"Eta Coba Bapak Aing Kuateun Detail Jeung Khatam ngajelaskeun masalah kos kieu,,Tah dengeee Baraya ,,maju terus Kang Dedi,, tong didenge cacantaL2 model eta si Iqbal..narumpang hirup Dina Kesang buruh,,Kade Ah ,ngan Kuring Mah Percanteun Kang Dedi Moal Gagabah Dina Sagala Hal...Gass Teruss",0.0,Kelayakan Upah
Sehat2 panjang umur Pak dedi🤲,0.0,Lain-lain
Selamat tahun baru moga thn 2026 lbh baik lg,0.0,Lain-lain
pak tolong perhatikan kota banjar,0.0,Lain-lain
"KDM HARUS TEGAS HAJAR SAJA SEPERTI SI SAID IQBAL, SUPARNO YANG SUDAH MEMERAS DAN MEMPERBUDAK BURUH. RAKYAT MENDUKUNGMU. DIAM-DIAM BUAT SAJA LARANGAN BURUH MENJADI ANGGOTA KSPI.",1.0,Tuntutan Keadilan
"Said akil itu orang nya anis,berkedok buruh,buruh ko di manfaat kan politik,perlu di audit harta kekayaan ketua partai buruh",0.0,Kelayakan Upah
"Kang dedi. Hatur nuhun tos perhatian ka buruh  pak. Kudu rada goreng hate ka pengusaha mah pak. Te sadayana perusahaan soleh. Dan niat usaha nage laba jeung laba. . 

Abi curhat saetik. Samemeh covid perusahaan tempat saya kerja masuk sektor 2 pak. 


Eh periode kemarin  perusahaan saya gak masuk sektoral. Kenapa???? Otomatis gajih tahun lalu dan tahun sekarang stagnan. 

Walaupun di pemerintah ada kenaikan upah. Tapi karena perusahaan sudah memakai upak sektoral tahun lalu yang lebih besar dari nilai kenaikan UMK tahun ini. Jadi upah kami tidak naik. Malah harusnya turun karena ikut UMK. 


Maka dengan rasa memohon saya ingin bapak dan jajaran lebih teliti lebih cermat memasukan semua jenis usaha ke dalam sektor. Agar upah kami ikut dan mendapatkan payung hukum 


Masalah tadi bapak menyinggung negosiasi antara perusahaan dan buruh. Sangat sulit terjadi. Pemberi upah dan penerima upah tidak selevel dalam negosiasi. Makanya pemerintah harus bijak. 

Haturnuhun",0.0,Harga Pangan
"Pemprov & Pemkab mengatur agar investasi di daerahnya dapat berjalan dengan baik tanpa ada perlakuan semena"" perusahaan kepada pekerjanya.
Win Win Solution",0.0,Optimisme Ekonomi
"Kayak begini harusnya PEMIMPIN, handling Komplain nya KERENNNN….",0.0,Lain-lain
si iqbal said hayang di gulung sugan babarawakan wae,0.0,Lain-lain
"Harusnya klo Tabayun Panggil Orang yang Bersangkutan nya attuh bapak aink. Jangan cuma panggil dari pihak pemerintah atau jajaran bapak . Namanya bukan klarifikasi klo cuma dari pihak pemerintah kabupaten atau kotanya saja, tapi dari pihak Serikat Buruh Khususnya FSPMI jawabarat tidak Panggil , itu sama saja bapak Sedang menggiring opini Pubik",0.0,Kelayakan Upah
"SUNGAI CIBERES
(CIREBON TIMUR)",0.0,Lain-lain
"ker perusahaan pindah ka negara batur , rek kuli naon baraya  ? 

Rek kuli kaluar negri ?
kabayaang te Perusaahan pindah kabeh , gara gara upah di tentukennku pamarenta .

Pak dedi bener pamikirana Gajih urusan Pengusaha jg Pagawe daekngawe heg tekajen nu penting pajak asup sabab negara iye hirup ku pajak .",0.0,Tuntutan Keadilan
SI IKBAL ITU KALAU BURUH DI PHK GA NONGHOL...KALAU KENAIKAN UPAH BURUH GIAT...KARENA IA HIDUP DARI IURAN BURUH...MAKANYA RUMAHNYA MEWAH...,1.0,Harga Pangan
"Yang nyari kerja perorangan, ketika kerja dipotong serikat, yang disuruh demo karyawan, yang minta naik gaji ketua Serikat, biar incamnya gedean. Kerja kaga, pengen potongan gaji 😂😂😂😂",1.0,Kelayakan Upah
Assalamualaikum kp indralayang Ranca buaya Garut selatan hadir,0.0,Lain-lain
Cerdaass pisaan Bpk aink❤,0.0,Lain-lain
manusia tu ga da puasnya..kurang dan kurang..pdhal buruh yg bener bener kerja kadang di tunggangi benalu benalu politik sesaat..,-1.0,Kelayakan Upah
harus nya dpr yg gaji nya umk pa dedi.....krn utk kerja kelihatan kurang berpihak pd rakyat,-1.0,Tuntutan Keadilan
BPK......,0.0,Lain-lain
Serikat tataian,0.0,Lain-lain
Terbaik KDM ❤❤❤.,0.0,Lain-lain
S7 dng penuturan Kdm,0.0,Lain-lain
Yg demo kemarenn ngerti gak sihh beginian..,0.0,Lain-lain
Mana ada perusahaan untung tinggi dia mau naikin umsknya lebih tinggi yang ada pengen gajih minimal keuntungan maksimal,1.0,Kelayakan Upah
Hatur nuhun 🙏,0.0,Lain-lain
"Kdang saya suka kasihan liat bapa aing Skrang CAPE GAWE TE KAPAKE,,,mendingan mimpin Jabar kaya yg udah"" biar aman",0.0,Optimisme Ekonomi
Tangerang kota slalu bersama KDM,0.0,Lain-lain
Jabar Istimewa ❤❤❤,0.0,Optimisme Ekonomi
Begitu cara KDM untk membuat smua na sejahtera...jngn selalu menyalahkan KDM..segitu hebat na beliau bertindak supaya smua na sejahtera...,0.0,Optimisme Ekonomi
sebaiknya KDM harus punya solusi dalam menentukan kenaikan upah tidak di sertai demo.,1.0,Kelayakan Upah
"hizib saifi tijani
qosam sayyid maithothorun",0.0,Lain-lain
😮🤩🤩🤩🤩🤩,0.0,Lain-lain
"Ya Allah zaman sekarang bukan Allah mengutuskan malaikat untuk mencabut ny4w4 manusia tapi manusia k3j1 lah nya mencabut ny4w4 m4nusi4🥺😢 

 sendiri m Penemv4n M4y4t Dan Dugaan Pembvnvh4n Siswi SMP diareal PT. Bridgestone Tapian Dolok.
   Minggu (29/12/2025) pukul 15.45 WIB, dua karyawan PT Bridgestone, S (51) dan MB (20), menemukan sesosok mayat perempuan di areal perkebunan Blok Z 24, Dolok Merangir, Nagori Dolok Ulu. 
Korban ditemukan telungkup, mengenakan celana putih dan baju hijau, dengan sebuah handphone di dekat kepala.
   Temuan tersebut segera dilaporkan ke aparat desa dan diteruskan ke Polres Simalungun.

 Tim Inafis dan Polsek Serbelawan langsung turun ke TKP, 
melakukan olah tempat kejadian perkara dan mengamankan barang bukti berupa HP, uang tunai Rp11.000, serta dua batang kayu ubi yang diduga digunakan pelaku.
      Sekitar pukul 17.00 WIB, identitas korban terungkap.
 Ia adalah ZR (15), siswi kelas IX SMP Negeri 2 Tapian Dolok. Tangisan histeris keluarga pecah di lokasi penemuan.
     Tanpa menunggu lama, Tim Jatanras bergerak cepat mengumpulkan keterangan saksi dan melakukan profiling pelaku. 
Hasilnya, dalam waktu singkat, identitas tersangka mengerucut pada AH (15), remaja sebaya korban.
       Pukul 19.30 WIB, atau kurang dari 4 jam sejak penemuan mayat, 
berhasil diamankan di rumah kakaknya di Huta Pondok Burian, Nagori Nagur Usang, tanpa perlawanan.
      Dalam pemeriksaan, pelaku mengakui perbuatannya. 
Ia m3nck1k korban dari belakang, 
m3mvkvl kepala dengan b4tv, 
m3mvkvl tubuh dengan kayu ubi, lalu m3nvsvk k0rb4n hingga 10 kali.
Motif pembvnvh4n dipicu permintaan uang dari korban untuk membeli obat aborsi.",-1.0,Kelayakan Upah
Mantap pokoknya..semoga pak KDM sukses dan sehat selalu begitu juga dengan keluarga,0.0,Lain-lain
"Bismillah 
Assalamualaikum warahmatullahi wa barokatuh 

Semoga Pa Dedi dan keluarga sehat selalu.

Perkenalkan nama saya Rudini Muslim saya warga Pameungpeuk Garut sekarang tinggal di Cikajang.

Mudah-mudahan bapak bisa menolong kami, kami menjadi korban penipuan investasi dengan aplikasi RONKB, kerugian mencapai lebih dari 1 juta dolar AS atau sekitar 19 miliar lebih. Terlebih saya juga rugi sekitar 200 juta.

Dengan skema grup, masuk ke aplikasi dan ketika mau menarik yang menjadi keuntungan tidak bisa di tarik malah harus bayar dana verifikasi dan pajak penghasilan.

Ketika sudah membayar dana verifikasi dan pajak penghasilan ternyata apa yang sudah ditarik di aplikasi dana tidak kunjung datang.

Syukur syukur uang saya dan teman-teman yang lain bisa diselamatkan kalau pun tidak semoga jadi pembelajaran buat yang lain.

Semoga pa Dedi dan tim membaca pesan ini",0.0,Optimisme Ekonomi
"KDM bsrta keluarga mg sht slalu n mkin sukses berkah berkah berkah, Mak ceuceung ingin jmpa sm Pa Dedi tp syang Mak LG skit SDH 15 th",0.0,Lain-lain
"Kalo nonton konten KDM Alhamdulillah selalu dapet ilmu, yang apaa tadinya kita GK tau, dan menjadi tau
Alhamdulillah 
Sehat truss bapa aing, pkonya Jabar istimewa",0.0,Optimisme Ekonomi
Serikat buruh apapun namanya itu sdh di tunggangi kepentingan politik yg menjadikan kambing hitam nya buruh... manusia tdk akan ada puasnya adanya cma kurang kurang.. kalau investor pada pergi .. pemerintah yg di salahkan lagi.. nganggur .. miskin demo anarkis... umks hrnya yang menentukan pengusaha dan serikat buruh...,-1.0,Tuntutan Keadilan
"Astagfirullah. Terima kasih Pak KDM atas penjelasannya. 

Namun, jika ditelaah secara logis, secara tidak langsung KSPI justru berperan sebagai pemungut iuran. Apabila iuran tersebut dipungut dari SPI kepada pengusaha, maka seharusnya dana hasil pungutan itu dialokasikan sebagai santunan bagi pekerja yang terkena PHK.

Faktanya, iuran yang dipungut berasal dari pemotongan upah buruh/pekerja untuk dibayarkan ke serikat. Sangat kecil kemungkinan pengusaha akan menganggarkan dana khusus untuk membayar iuran tersebut. Contoh yang paling jelas adalah BPJS Ketenagakerjaan, yang iurannya dipotong setiap bulan dari gaji pekerja dan manfaatnya baru dirasakan ketika pekerja mengalami PHK atau kondisi tertentu.

Oleh karena itu, mari kita berpikir secara rasional dan logis, agar kebijakan dan narasi yang dibangun benar-benar berpihak dan adil bagi pekerja.",0.0,Harga Pangan
y,0.0,Lain-lain
"Assalamu'alaikum... Sampurasun pak Dedi, my name is Mr. Dream I'm from Majalengka  West Java. I'm an English teacher  

Mohon izin pak, sy pengen berkontribusi untuk membantu bapak dalam rangka mengembangkan SDM warga jawa barat khususnya kecakapan bahasa Inggris. Sy punya metode sederhana namun aplikatif yaitu merubah seseorang dari 0 hingga lancar bahasa Inggris hanya dalam waktu 12 Hari saja. Jika metode sy dipakai banyak orang khsusnya warga jabar, insya Allah waga jabar lebih kompeten dan berwawasan global. 

Nuhun tanggapana pa.. Hatur nuhun 😇🙏",0.0,Optimisme Ekonomi
KDM luar biasa istimewa,0.0,Lain-lain
Pa Abi Hyng damel ijazah SMP sesah milarian damel tulungan pa🤦,0.0,Lain-lain
"Ketika rakyat kecil dibina, diberi ruang, dan dibekali solusi, lahirlah manusia petarung.
Tapi saat kreativitas rakyat dipersempit sementara karpet merah digelar untuk pemodal besar, yang lahir hanya barisan pekerja—bukan penggerak.
Ekonomi yang digantungkan pada satu pengusaha besar rapuh oleh satu keputusan.
Ekonomi yang ditopang ribuan rakyat kecil kuat oleh keberanian hidup.
Negara yang besar bukan yang sibuk membesarkan segelintir,
tapi yang berani menumbuhkan banyak tangan agar sama-sama berdiri.",-1.0,Tuntutan Keadilan
"Kalau ada salah satu perusahaan tidak mengikuti UMSK gimana, bantu jawab ???",0.0,Lain-lain
"Semoga Jawa Barat mampu mempelopori Listrik Mandiri untuk rakyat jabar non industri, sehingga tidak ketergantungan terhadap PLN yang selalu merugi",0.0,Tuntutan Keadilan
"Nah ini benar harusnya PP itu d revisi,,harusnya umks itu ranahnya pengusaha dan buruh,,jd biar pengusaha dan buruh yg negosiasi..",0.0,Tuntutan Keadilan
Gubernur paling cerdas..🔥🔥🔥,0.0,Kebijakan Pemprov
"BURUH  YG DEMO INTINYA TIDAK BERSYUKUR...GAK LIAT  
ORANG YG HIDUP MENGANDALKAN PENGHASILAN HARIAN...SEMOGA 2026 ALLAH SWT MEMBOLAK BALIKAN SEMUA PEKERJA HARIAN DAPAT GAJIH BULANAN DAN BURUH YG DEMO DAPAT GAJI HARIAN YG PEKERJAAN NYA GAK TENTU...KITA AKAN LIHAT SIAPA MANUSIA YG PANDAI BERSYUKUR DALAM HIDUP... GEUS JENUH NEULEU KALAKUAN NU DEMO MIKIRAN BEUTEUNG SORANGAN TEU PADULI KANU KASUSAH JALMA NU SERABUTAN>.?? SARIA MAH GES PASTI TIAP BULAN GABLEG GAJIH CIK MUN DEMO MAKE ADAB HARGAAN JALAN USAHA BATUR TONG SOK NGAGANGGU BARI NGARUSAK...PABRIKNA TUTUP SARIA MEWEK GEURA...???MIKIR...",0.0,Kelayakan Upah
"Sehat selalu pak gubernurrr,,,,, 
Semoga ekonomi Jawa Barat makin tumbuhh",0.0,Kebijakan Pemprov
"tuhhhhhhhhhhh kan kitu pemirsah para buruh mudah2an mendengarkan,menonton penjelasan yang diberikan KDM!!saling mengerti antara pihak perusahaan,karyawan,dan pemangku kebijakan!",0.0,Kelayakan Upah
"Pa KDM mau diserang segala cara untuk menjegal jangan sampai beliau jadi lawan tangguh  si putra mahkota di 2034,insha Allah, beliau amanah dan orang2 yang berpikir melihat bagaimana beliau menjaga gunung hutan perkebunan dari mafia2 yang merusak lingkungan",0.0,Lain-lain
🌊📺🍿🤔👣 ngarah banjir. ... 🍿😁,0.0,Lain-lain
"Aduhhh pa majalengka leutik wae, iraha urang rek nikah na pa, di tinggal kawin deui wae iyeumah",0.0,Lain-lain
mari kita ikut bersedekah dengan cara jangan skip iklan di tayangan nya serta like videonya. jika ada video yang nyinyir KDM lewat beranda mu dislike atau laporkan spam aja. terimakasih,0.0,Lain-lain
"Pokonamah pa haji KDM slalu ada dalam lindungan allah swt,,supaya cita2 terwujud,untuk jabar,,sehat terus pa haji kdm,❤❤❤❤",0.0,Optimisme Ekonomi
Bandung hadir,0.0,Lain-lain
"Maaf pak gub sya kurang setuju. Karna perusahaan tdk mau terbuka ttg keuangan perusahaan. Selalu bilang rugi terus tiap tahun, tapi project terus berjalan.",0.0,Lain-lain
Tetap semangat KDM mereka yg mencaci dan memaki hanya untuk kepentingan sesaat dan sglintir orang.,0.0,Lain-lain
PRESIDEN KSPI KALAU BURUHNYA DI KELUARKAN DIA NGILANG,0.0,Kelayakan Upah
Kdm pemimpin bijaksana ...aamiin,0.0,Lain-lain
"Nah tuh said dengerin , berarti yg boong tuh ketua kspi si said.. wahai para buruh jangan mau kalian di adu domba demi kepentingan individu perorangan dan kalian ditunggangi kepentingan politik.. copot said di didu,, karena tidak bisa bekerja hanya bisa berkoar²,, copot said Didu, kalau tidak di copot saya akan demo ke istana",0.0,Kelayakan Upah
"Kepada IPB University, dengan kekuatan Kapasitas intelektual dan kepasitas riset multidisipliner yg sangat kokoh, Kami minta mulai tahun 2026, agar membuat Pusat Kajian Pengupahan  (UMK/UMP) secara big data, saintifik dan kajian multidisipliner. Minta dukungan dana abadi dari LPDP atau dari CSR BP Danantara. Kekuatan SDM riset quantitatif dan big data IPB sangat menonjol. Hasil kajian tahunannya, agar disampaikan ke PEMERINTAH PUSAT RI untuk menjadi rujukan dan acuan utama, khususnya Kementerian Tenaga Kerja. Supaya pembuatan PP tentang upah ketenagakerjaan berkualitas, sesuai kondisi obyektif industri di masing-masing daerah di Indonesia.",1.0,Kelayakan Upah
Assalamualaikum Kebagusan city Jaksel hadir salam kenal semuanya,0.0,Lain-lain
Tah dengerin bos serikat jangan cuma nuduh gub di hapus umsk.,0.0,Lain-lain
Saat rapat ko di suruh stafnya bertemu pimpinan buruh bukan bapak aing saja yang bertemu,0.0,Kelayakan Upah
"pak gubernur bilang hanya sekemampuan sebagai gubernur 27:58 ,coba sebagai pemegang kekuasaan negara pasti banyak perubahan kemajuan untuk indonesia",0.0,Optimisme Ekonomi
"Menjelang tgl 24- Des- setiap tahun, Kepala Daerah wajib fokus persiapan penetapan UMK/ UMP.Jangan cuti, jangan plesiran non dinas",0.0,Kelayakan Upah
Beratt beratt,0.0,Lain-lain
Saya senang bapak aing sedang berproses untuk memimpin indonesia ke depan.amiin allohumma amiiinnn,0.0,Lain-lain
pak kalo yang orsorsing yang d bawah UMR gimana pak,0.0,Tuntutan Keadilan
"Yang selalu mengkritik kinerja KDM , KEBANYAKAN kok Anak  wan abud yaman ya... 
Coba cex jejak digital mereka... 🙏🏼🙏🏼",0.0,Lain-lain
"Ni orang 3 kaya takut banget d resmikan , secara tidak langsung seperti mereka takut jatah mreka dari perusahaan bakal berkurangg dan dompet mereka tipiss 😂😂",0.0,Lain-lain
Nich harus dengar yg pda demo ini penjelasan nya jangan kalian merasa benar seolah olah KDM yg salah...tetap semangat KDM peminpin cerdas tegas pro rakyat👍👍👍👍,0.0,Tuntutan Keadilan
Majalengka kolot2 banget dengerin itu woiiii Majalengka sabar y kang dedi,0.0,Lain-lain
KDM bapak Aing,0.0,Lain-lain
"Dengarkan itu woiii para penyinyir2 yg punya penyakit hati GK ada lampiran 
Tuhhhh yg demo2 punya kuping gak kalian asal sok2 an demo2 warga Jabar jangan pada diem saja kalau BPK KDM di serang...pak Dedi kalau ngomong bukan asal2an jadi dengerin",0.0,Optimisme Ekonomi
"Assalamualaikum BPK aing BPK Dedy Mulyadi🙏pak Dateng longok k cianjur Langensari kampung nyantoni kec,Karangtengah,jalannyh ruksak pak🙏,longok k kampung kampungnyh pak🙏",0.0,Lain-lain
"Tolong di audit setiap perusahaan pak dedy.
 Karna Di KABUPATEN BEKASI banyak perusahaan yang nakal pak Dedy.",0.0,Lain-lain
"Bapa aing orang baik jujur dan amanah,salam saya dari patok beusi(Subang Pantura)",0.0,Lain-lain
Sepakat akhirnya...👍👍👍,0.0,Lain-lain
Abdi teh penggemar beraaat BPK KDM tp abdi mah teu Acan diwaler ku BPK aing....padahal Nami abdi sami srg BPK mung payun na hungkul abdi mah Dedi hadiat ...sediiiiih 😢,0.0,Lain-lain
Selalu setia hadir dari arab saudi asal cileungsi bogor 🎉🎉,0.0,Lain-lain
❤❤❤,0.0,Lain-lain
Kat Malaysia gaji minimum di tetapkan negara..rincian upah bahagian2 bidang kerja urusan syarikat..,0.0,Kelayakan Upah
Sehat selalu panjang umur banyak rezeki nya dan selalu dalam lindungan Allah SWT kang Dedi Mulyadi gubernur Jawa Barat aamiin ya rabbal alamin Kemayoran hadir.,0.0,Kebijakan Pemprov
Hadir,0.0,Lain-lain
Subhanallah gub Aing cerdas😮 jiwa raja Sunda na nonghol❤,0.0,Lain-lain
"Hadir 
Parunghalang
Andir baleendah
Kab bandung
Kota di tata 
Lembur di urus
Jabar istimewa 
Bapak aink thea 
Wajib 2 priode",0.0,Optimisme Ekonomi
"Intinya pengusaha dan pekerja seharusnya saling membutuhkan yg adil BERMUSYAWARAH,
 jgn perusahaan yg HANYA mencari keuntungan PRIBADI sebesar-besarnya, KRN NEGARA BNYAK MEMBERIKAN KEMUDAHAN KE PERUSAHAAN..., JIKA PERLU PROVINSI MEMBELI SAHAM TIAP PERUSAHAAN...",1.0,Tuntutan Keadilan
Wawasaan bapa aink emang luar biasa...segala bidang menguasai.adil dan bijaksana🫶,0.0,Tuntutan Keadilan
"Inilah alasan kenapa gubernur harus orang pintar. 
Saya warga jateng merasa bangga kepada KDM. 
gubernur jateng???",0.0,Kebijakan Pemprov
"PAK PRABOWO, MAAF KECERDASAN ANDA DAN MENTRI"" ANDA SANGAT DI BAWAH KECERDASAN RAJA SUNDA !!",0.0,Tuntutan Keadilan
Mantap kang dedi...,0.0,Lain-lain
"Bapa aing tetap sehat dan menyalah jgan dgr orang ""yg hina. Dan nyingkir yg penting Alloh ridho kolou Alloh ridho semua yg ada di dunia pasti menerima kebijakan KDM salama BP aing amanah semangat trs kdm❤💪",0.0,Kebijakan Pemprov
Mana pas siridwal Kamil sampai detil bngt mslh buruh.bln yng lainnya terbuka semuanya.mantap kdm,0.0,Kelayakan Upah
PAT GULIPAT..OTOT AING OTOT KAWAT..JAWABARAT KUAT KARENA BAPA AING  HEBAT DICINTAI RAKYAT,0.0,Tuntutan Keadilan
"Saran saya samperin pa itu ketua dari partai buruh ,,
Terus rekam biar semua orang tau 
Dan jelaskan secara rinci 
..
Biar ga di bilang pecundang sama para oposisi ,,",0.0,Kelayakan Upah
"Ohhhhh pemerintah mau dijadikan tumbal toh...ternyata sehrsnya pengusaha dan serikat duduk bareng nentukan angka dgn rumusan dr pemerintah, bukan serikat buruh yg seenaknya ngasi angka, pada kabur atau tutup perusahaan kalo ngikutin kemauan buruh mah..cemerlang KDM",0.0,Tuntutan Keadilan
Dari semenjak pak KDM kuliah beliau sudah terlibat dengan pemburuhan jadi paham dengan masalah ini,0.0,Kelayakan Upah
Sangat sangat cerdas bapak aing,0.0,Lain-lain
Kurang bijaksana gimana coba Hai buruh....,-1.0,Kelayakan Upah
Majalengka hadir,0.0,Lain-lain
SALAM SAKING JATENG ❤❤❤..,0.0,Lain-lain
Masyarakat jadi tau tentang politik upah,0.0,Kelayakan Upah
"Pak tolong ditindak lanjuti ke perusahaan tempat kami bekerja di kabupaten Bogor, PT sinar cemerlang platindo yang memberikan upah ke pekerjaan yang sangat minim hanya 60 - 70/hari,tidak pernah ada kenaikan upah tahunan, itupun bbrp bulan terakhir gaji kami dicicil 3-4 kali perbulan,mohon KA bapa aing tindak lanjuti perusahaan tersebut 🙏",1.0,Kelayakan Upah
🐅⭐👍👍⭐⭐⭐🐅⭐⭐⭐,0.0,Lain-lain
Sangat luar biasa ...cerdas langsung sat set sat set,0.0,Lain-lain
perumahan dinar lestari garut ada tambang ilegal pak. tolong di hentikan di google map sampe bolong gitu bukitnya 😡😡😡,0.0,Biaya Sewa
