komentar,skor,topik
"Bnyk penganggurn dn PHK gegara si SAID....Ayolh para buruh,,,brsyukur dri yg kcil dlu.Msih bnyk tmn2 kita yg msh ssh mndptkn pkrjaan.",0.0,Kelayakan Upah
Mantap gubernur dengan bgini seluruh rakyat Jawa barat bisa faham dan d ajak rapat pemerintahann,0.0,Tuntutan Keadilan
Kang dedi menyala 🔥🔥🔥🔥🔥😅😅😅❤❤❤❤❤,0.0,Lain-lain
"PAK KDM itu GUBERNUR merangkap  MENTERI sosial+MENTERI TENAGA KERJA+MENTERI  kehutanan+MENTERI hukum dan ham+MENTERI Lingkungan HIDUPI+MENTERI AGAMA,,,SEMUA itu KDM bisa menyelesaikannyah,,,,MANTAAP KDM....hadir JAKARTA+BANTEN",0.0,Optimisme Ekonomi
"UMK/UMSK untuk pekerja 0thn, kenyataan nya? Bahkan ada sistem magang yg sudah masip upahnya di bawah UMK/UMSK parah lagi tidak mendapatkan jamninan kesehatan (bayar mandiri). Pentingnya serikat pekerja di perusahaan menjadi kontrol (kaki pemerintah) terhadap perusahaan yg nakal.",0.0,Tuntutan Keadilan
bandung selatan >> hadir,0.0,Lain-lain
Smoga sht sllu pa gubernur KDM..msh trs di cari selanya buat menjegal pa gubernur KDM..smpai kaum buruh pun di gunakan sbagai kendaraannya..memang indonesia ini terlalu bnyk orang rakus..penghianat bngsa dan tidak senang klu jabar ini maju..,0.0,Kelayakan Upah
Jatim hadir,0.0,Lain-lain
"Wahai para buruh yang demo coba simak baik-baik video ini,biar tidak salah paham terhadap Gubernur,dan jangan mau di tumpangi oknum elit politik yang ingin menjatuhkan Bapak Aing KDM",0.0,Kelayakan Upah
"Kab.bekasi masih banyak outsourcing pak, dan banyak pekerja Mash bnyak harian dan borongan padahal sudah punya gelar PT bukan CV 😂, tolong di bantu pak",0.0,Optimisme Ekonomi
"Saya KECEWA ke KDM, KDM terlalu mudah  ngasi panggung sama yg menghina, laen kali saya dan netizen lain pun bisa dong menghina KDM dan berharap dipanggil. Tinggal minta maaf lalu berharap dikasi duit SEGEPOK",0.0,Lain-lain
Mantap saya selaku buruh merasa bersukur atas kenaikan upah thn sekarang di banding THN 2024 lanjut PK kdm❤,1.0,Tuntutan Keadilan
"Waw.. Beruntung ada gubernur konten.. Berkat nonton channel❤❤KDM❤❤bisa menambah pengetahuan.... 



❤❤I love KDM❤❤",0.0,Kebijakan Pemprov
Pelan pelan rapi,0.0,Lain-lain
kabupaten bandung gimna,0.0,Lain-lain
"Nyimak KDMserasa aku jadi pejabat jadi tahu macam mana kerja pejabat terdahulu.
Love KDM ❤❤❤❤❤",0.0,Optimisme Ekonomi
Bekasi hadir semoga bapa aing sehat selalu  dan terus semangat untuk membuat jabar istimewa,0.0,Optimisme Ekonomi
"Top bapa aingmh pokonamah,makannya buat para pendemo mending datang baik baik dialog dengan kepala dingin ,jangan sampe demo ngerusak pasilitas umum",0.0,Harga Pangan
"KSPI Hanya Memeras buruh, KSPI di gaji dari iuran Buruh, KSPI Cuma Ngomong tuntutan doang pada pemerintah, tapi Ngak pernah membantu membela buruh pada saat pabrik pada Pindah. apakah KSPI pernah menuntut Pabrik atau pengusaha. KSPI sekarang organisasi Politik",0.0,Tuntutan Keadilan
"Hukum ekonomi, kalau yang dibutuhkan sedikit  ketersediaan banyak harga murah.Gaji kecil karena pekerjaan nya banyak orang bisa, bersyukur atuh apat kerja. PT gak terlalu butuh buruh justru buruh butuh pt. PT tinggal buka lowongan kerja 1 posisi yang melamar bisa ratusan ribuan kali . Kalau mau gaji besar , pekerjaan yang di butuhkan banyak ketersediaan sedikit pasti mahal bayaran nya .",-2.0,Harga Pangan
"Betul sekali, harus imbang, bukan memihak buruh dan pengusaha, karena pemerintah juga berkepentingan soal pemasukan pajak dari sektor industri.. Intinya pekerja buruh masih bisa bekerja dapat gaji, dan perusahaan masih tetap beroperasi..andaikan perusahaan banyak yg cabut  pindah ke provinsi lain atau bangkrut , banyak pengangguran dan itu masalah sosial lagi.. Di syukuri ajalah, di atur sedemikian rupa buat hidup satu bulan",0.0,Tuntutan Keadilan
"Ketika manusia meninggal dunia, maka terputus sudah amal jariahnya kecuali tiga perkara yakni: sedekah jariyah, ilmu bermanfaat dan doa anak yang sholeh.
Pak KDM selalu sedekah jariyah PD orang TDK mampu, orang tua, dll.
Selain itu, konten2nya adalah ilmu yang bermanfaat untuk masyarakat dan Para pemimpin di negeri ini, yang bisa jadi acuan pemda2 lain untuk mengaplikasikan di daerahnya. Semoga anak2 Pak KDM juga menjadi anak2 yg Sholeh. Indonesia bangga punya KDM
""KING Dedi Mulyadi ""
😃👍👍🏆🏆🎉🎉♥️♥️",0.0,Lain-lain
Assalamu'alaikum pa gubernur Langensari Banjar jawa barat hadir,0.0,Kebijakan Pemprov
Kalo pa KDM jadi presiden tolong yh di bunu dan di manpuskan adalah si Said Ikbal,0.0,Lain-lain
Bpk Aing selamanya 👍👍,0.0,Lain-lain
"Pak apakah bnr bikin sertipikat tanah hars ada 7 juta?saya dari desa sumurgede kab karawang kec cilamaya kulon pak, tolong bantuin saya pak saya d tagih terus sama pihak desa nya, pdhl saya gak niat bikin sertipikat tanah karna blm punya uang, tp knpa skrng pihak desa nagih ters ke saya, tolongin saya pak",0.0,Lain-lain
Gubernurku tercinta semoga sehat selalu dan panjang umur❤❤❤,0.0,Kebijakan Pemprov
"Pa dedi, untuk prihal masuk kerja tolong perusahaan hapus kan syarat masuk kerja slik/BI Ceking hrs bagus, hapus persyaratan tersebut pak kasian jd nambah susah cari kerja",0.0,Optimisme Ekonomi
"Jd males skrg ngikutin Chanel ini ,,ragara yg gajih nya 10jt malah d ksih amplop 😅😅 mana udh menghina lagi ...JD gtu aturan main nya kalo pengen amplop harus ngehina dlu",0.0,Kelayakan Upah
"Pa dedi, untuk prihal masuk kerja tolong perusahaan hapus kan syarat masuk kerja slik/BI Ceking hrs bagus, hapus persyaratan tersebut pak kasian jd nambah susah cari kerja",0.0,Optimisme Ekonomi
"Kalo gubernurnya gk cerdas dan gk paham seluk beluk pemerintahan, pasti udah kena fitnah dan masyarakat akan ikut ikutan demo 😂",0.0,Kebijakan Pemprov
"Pa dedi, untuk prihal masuk kerja tolong perusahaan hapus kan syarat masuk kerja slik/BI Ceking hrs bagus, hapus persyaratan tersebut pak kasian jd nambah susah cari kerja",0.0,Optimisme Ekonomi
Assalamualaikum bapak aing idola aing poko nmh sht sht bpk salm dari nak rntw ksa mkkh 🎉❤,0.0,Lain-lain
Pak Deddy tolong sidak perusahaan garmen ilegal di Bandung yang tidak bayar pajak,0.0,Lain-lain
Said iqbal mah memanfaatkan buruh untuk kepentingan politik dia,0.0,Kelayakan Upah
Mau cari pemimpin yang bagaimana lagi kalian para Buruh?? Mau yg kyk RK lagi?😂,0.0,Kelayakan Upah
"Assalamualaikum Baraya Sunda sadayana, sampurasun abdi wargi jabar NU aya di Pelalawan Riau ayaaaaaaaaaa hadiiiiiiiirrrrrrt 👌👌👌❤❤❤",0.0,Optimisme Ekonomi
Sampurasun. Salam baktos ti pribados Jaka Rasa ka Papayung Agung tatar Sunda pangersa Bapak Aing KDM Raja Pajajaran Anyar Raden Bagus Prabu Pameresan. 👃👃,0.0,Lain-lain
Masalah Apapun Kalau Sudah Musyawarah dg KDM pasti Selesai.,0.0,Lain-lain
Sehat selalu bapak aing ❤❤❤❤,0.0,Lain-lain
"Saya juga heran pak dedi, sy juga heran sm perkerja yg kurang bersyukur sdh d perjuangin sm pak dedi, klu mau gaji lebih tinggi ya jadi TKI aja, kita aja yg pengen banget dpt kerja susah amat, Orang-orang ini sdh dpt kerja dengan gaji sesuai ketentuan di Indonesia msh aja gak ada bersyukur'ya .. Ganti aja pak dedi sm orang-orang yg bener2 pengen kerja.... Gila gaji di atas 5 juta ke atas msh aja nuntut ke naikkan gaji... Lier aing mah sama orang yg gak bersyukur... 😂",0.0,Tuntutan Keadilan
"Bijaksana bgt sumpah, bener² contoh buat para pemimpin dimanapun 😊 
Semoga kita semuanya dpt memahami apa yg d sampaikan beliau bapa aing 😍😎🙏🏻",0.0,Kelayakan Upah
"Sing sehat, salamet, panjang yuswa, pak Dedi",0.0,Lain-lain
Assalamualaikum warahmatullahi wabarokatu 🙏 sampurasun 🙏 Masya Allah Tabaraka Allah klu dgn bpk Aing KDM Gub aappun problem y selalu cepat d tangani dn selalu beres tidak lama dn tidak harus segala macam yg bikin ribet bikin lama dn bijin tidak selesai satu hari ..ini lah kehebatan bpk Aing KDM..coba klu saja Gubernur y seoerti KDM bpk Aing mungkin Indonesia akan menjadi Makmur sejahtera aman nyaman damai tentram.. Indonesia Emas.. do'a terbaik buat KDM bpk Aing Gub selalu dalam lindungan Allah SWT sehat selalu panjang umur murah rezeki y sukses selalu buat rakyat Jabar khusus y Indonesia umum y 🤲🤲🤲🙏🙏♥️♥️♥️🇮🇩🇸🇦🕋😍🥰😘💪👍💯 Jeddah Saudi Arabia selalu hadir 🎉❤,0.0,Tuntutan Keadilan
"Pemikiran pak Gub KDM cerdas dan rasional tp berbenturan dgn PP ketenagakerjaan, selama ini buruh sangat potensial sebagai alat politik. Yg pernah aktif pasti paham😊",0.0,Kelayakan Upah
Hebat bapak aing mah.,0.0,Lain-lain
"Bagaimana pengusaha gk gulung tikar,,,pajak naik terus,,pekerja juga pngen naik gaji,,sedangkan pemerintah ya ngurusin perut sendiri,,ancur ancur,,,gk lma lgi",1.0,Tuntutan Keadilan
"Pokona nu demo kamari mah,
Di tunggangi ku lawan politik nu eleh ngalawan bapak aing,",0.0,Lain-lain
Hadir bapak aing 🖐️,0.0,Lain-lain
Mantap bapak❤,0.0,Lain-lain
"Pindah aja perusahaan ke jateng.. Sekarang 2 jutaan pekerja nya gak banyak protes 
Naikin dikit jadi 3jt dah anteng itu 😅😅😅😅

Pemerintah gak bisa ikut campur 
Itu ranah perusahaan
 dan karyawan...  


Kalo saya yg punya perusahaan tak pecat itu smua buruh yg dikit"" demo",1.0,Kelayakan Upah
Sehat sehat raja ❤,0.0,Lain-lain
"Sehat"" selalu kdm",0.0,Lain-lain
Asmlkm cikarang utara hadir pak gubernur,0.0,Kebijakan Pemprov
Fakta di lapangan ada beberapa perusahaan sewenang wenang dan buruh jg takut kehilangan perusahaan makanya banyak perusahaan serikagnya di bungkamdm,0.0,Harga Pangan
Jabar istimewa mewa berkat Bp aing,0.0,Optimisme Ekonomi
Mantap rapat y terbuka jadi beli jelas,0.0,Lain-lain
Ijin bapa aing .tolong gji satpam naekin juga .satpam smk negri 1 rengasdengklok,0.0,Lain-lain
Pa dedi iye di lembur urg pembagian BLT peting2 😂,0.0,Lain-lain
"keren memang ini KDM
saya yg berasal dari Jawa Tengah saja mengakui dengan penuh dan sadar, bahwa KDM memang pantas menjadi Panutan serta memimpin Indonesia diwaktu yang mendatang 🎉",0.0,Harga Pangan
"Buruh Elit main Politik, yg makin kaya presiden buruh dan cecunguknya.",0.0,Kelayakan Upah
"Kasus saya jual beli tanah di kabupaten Sumedang Pak,sepertinya calo tanahnya mau menipu saya,tapi pengaduannya blm ditetima pdhl saya datang dari kutoarjo selain pingin ketemu Bpk karna Idolaku,saya juga mau minta tolong menyelesaikan masalah jual beli tanah,tapi semua hadilnya nol ,lemes Bapak 2hari g bethasil😭😭😭😭😭",0.0,Tuntutan Keadilan
"Gimana nih pabrik vinvest di Subang kok malah didemo,apa warga Jabar gak mau ada investor masuk Jabar ya",0.0,Optimisme Ekonomi
"KDM sudah selesai dengan dirinya sendiri, menjadi pejabat negara yang benar-benar bekerja untuk kepentingan masyarakat cerdas tangkas cepat tanggap taktis jujur amanah semoga sehat panjang umur KDM sehat selalu berkah barokah aamiin ❤🎉",0.0,Optimisme Ekonomi
Sayah doakan mudah mudahan ga ada dusta di antara kita,0.0,Lain-lain
"Klo demo bgini trus pengusaha juga tdk akan tinggal diam krna keuntungan semakin berkurang, produksi hrs berjalan sementara tuntutan trus berkelanjutan, maka robotic/AI akan digunakan perlahan-lahan utk menggantikan manusia disemua sektoral industrial. Walhasil demo demo buruh itu sebenarnya mempercepat penggunaan robotik/AI. Salam akal sehat",-1.0,Tuntutan Keadilan
Pak saya minta jalan katapang andir di kab bandung tolong di aspal lagi udah rusak parah,0.0,Lain-lain
"Belum setahun tapi sudah kerasa banget manfaat kdm ini.
Bagaimana kalo 10 tahun ?.",0.0,Lain-lain
Sukabumi cikembar Sukamantri hadir,0.0,Lain-lain
"KSPI pengennya investor pada kabur sehingga bisa berdampak buruk pada citra bapa aing KDM....mengajak/memaksa para buruh tuk nuntut ke pa GUB....seolah"" bapa aing tidak memperhatikan mereka....
Buruh harusnya bersukur....lihat ojol yg pendapatannya ga jelas tapi tetep hapi karna selalu bersyukur.....",0.0,Kelayakan Upah
"Sungguh bijak KDM ITU,tgl 22-23des saya datang ke L Pakuan dg tujuan ingin KETEMU KDM DAN ADA PENGADUAN MASALAH HUKUM(JUAL BELI TANAH TAPI SEPERTI ADA MODUS PENIPUAN),,,TAPI HASIL PENGADUAN BELUM DITERIMA DAN KDM ❤❤❤❤❤❤❤❤❤ JUGA GAK BERTEMU,SEDIH BAPAK SAYA G BISA KETEMU BAPAK,DATANG DARI KUTOARJO SAMPAI L PAKUAN LUMAYAN JAUH SEDANG UANG PAS2AN HAMPIR G BISA PULANG KARNA KEHABISAN ONGKOS.PAK DEDY SAYA TETAP AMBISI INGIN KETEMU BPK🙏",0.0,Biaya Sewa
"Begitulah manusia. 
Sudah punya gajih tetap masih saja kurang . Walaupun upah berapa saja nggak bakal merasakan cukup. 
Karena selalu menuruti hawa nafsunya. Dan kurang bersyukur.",-1.0,Kelayakan Upah
Panggil lagi sahara dan keluarga pak... Kasian tertekan dengan ulah pak Mim😂,0.0,Lain-lain
Majalengka hadir,0.0,Lain-lain
"KDM adalah Standart Pimpinan Daerah (Gubernur, Bupati) yang ada di Indonesia",0.0,Kebijakan Pemprov
"mantap pak kerja cepat tepat dan cerdas
 walaupun banyak yg bilang gubernur konten 
tapi lewat konten nya semua orang banyak yg tau informasi yg tepat
salam dari pontianak",0.0,Optimisme Ekonomi
Presiden buruh denger nih.  Anda sudah memfitnah KDM ...,0.0,Kelayakan Upah
"Karena cara memipinya tidak punya kepentingan pribadi atau golongan maka semuanya harus di selamatkan pekerja harus di beri kelayakan upah dan pihak pengusaha juga di beri ruang untuk bisa mengembangkan usahanya ,, MANTAB",1.0,Tuntutan Keadilan
Gubernur hanya KDM yang segalanya Transparan,0.0,Kebijakan Pemprov
"Saduluuuuuur jgn main"" tuduh kpd Bp Aing sy dr Tegal Jateng sj percaya kok org Jabar malah ga tanya dulu lgsg tuduh jgn"" ............. 😂😂😂",0.0,Optimisme Ekonomi
LMPUNG HDR ❤❤❤❤ KDM,0.0,Lain-lain
Hadir,0.0,Lain-lain
"pejabaT Yg baik, ikhlas dan Tulus serta Jujur seprT KDM Tu paling suLiT d temukan
sosok pemimpin Yg Luar biasa",0.0,Lain-lain
"Gelagapan ditanya""nya",0.0,Lain-lain
Asalm selalu hadir dubyyy,0.0,Lain-lain
Malaysia hadir bapa aing sehat selalu,0.0,Lain-lain
"""Hanya Kang Dedi yang konsisten hadir di tengah persoalan pelik seperti UMSK ini. Solusi yang diberikan selalu masuk akal dan tetap memanusiakan manusia. Terus berjuang untuk rakyat kecil, Kang!""",0.0,Tuntutan Keadilan
"Penduduk Jabar Lebih dari 50juta penduduk kok yang suscriber KDM cuma 8,71jt malah kebanyakan orang luar dr jabar yg suscribe 😅",0.0,Optimisme Ekonomi
Kdm memang mumpuni dalm segala hal,0.0,Kelayakan Upah
"BAPAK AING..UNDANG BAPAK CAMAT DAN BAPAK LURAH YG UDAH NGEPRANK WAKIL BUPATI BEKASI PAS SIDAK TEMPAT PEMBUANGAN SAMPAH. KATA PAK CAMAT VIDEO YG VIRAL ITU VIDEO LAMA.
UNTUNG DISANA BANYAK KONTEN KREATOR YG NGASIH TAU KL LOKASINYA BUKAN ITU.
DAN LOKASINYA DIJAGA MA ORMAS.
KITA PENGEN TAU KENAPA KOK BISA  NUNJUKIN LOKASI YG BUKAN DI VIDEOIN. DAN KENAPA LOKASI TPS YG VIRAL DIJAGA ORMAS.",0.0,Lain-lain
"Pak undang jg tuh presiden partai buruh yg sudah mulai menyerang personal, coba ajak ngobrol pak kita masyarakat kepengen liat,  sesuai ga sama ucapan ""nya",0.0,Kelayakan Upah
Maka.jalilnlah kerjasama yg lurus antara buruh/karyawan dan perusahaan/pabrik/industri ... realistis dan manusiawi..tidak ada tipu2. Tidak ada yg Makan tulang kawan..,0.0,Harga Pangan
"*LEMBUR* di urus *KOTA* di tata *JABAR ISTIMEWA*
*BAPAK AING TEA 2 PERIODE*",0.0,Optimisme Ekonomi
Mantap pak Dedy langsung panggil..... pejabat yang berwenang jadi ketauan pejabat lemahnya cara bekerja nya,0.0,Optimisme Ekonomi
"Betul kata pak Dedi... Sebaiknya upah itu provinsi cuman menentukan angka standar . Finalisasinya itu kesepakatan antara buruh dan perusahaan yg diawasi pemerintah.. karena kalau provinsi yg menentukan.. perusahan yg lagi lesu terjadi PHK , tekanan kerja yg gak masuk akal , bahkan menyatakan pailit.. klo yg untung besar senyum2 aja klo upah rendah ❤",0.0,Kelayakan Upah
👏👏👏👍👍👍💪💪💪🙏🙏🙏,0.0,Lain-lain
❤❤❤❤❤❤❤,0.0,Lain-lain
Kaum awam dulu tidak tahu hal spt ini dan akhirnya nya jadi tahu edukasi wawasan mencerdaskan bangsa,0.0,Lain-lain
"Biar si said Iqbal yang buka usaha dan gajih kariawan nya sesuai permintaan kariawan , giliran ada perusahaan yang out dan mengakibatkan PHK,si said Iqbal apakah bisa memenuhi kebutuhan untuk kariawan yang di-PHK, pasti zonk",0.0,Kelayakan Upah
"Pokoknya gk ada pejabat
Pemimpin sekeren Bapak Aing KDM hebat luar biasa Kebanggaan warga Jabar ❤❤❤",0.0,Optimisme Ekonomi
"Bisa aja Buruh di Gaji 100Jt/ Bulan tapi Dalam 3 Hari Pabriknya Pindah Ke Vietnam 😂😂
Dan Siap-siap PHK masal Kalau Bagi Gubernur ingin Buruh Gaji nya Tinggi Tapi Perusahaan Mampu membayar nggak, Jadi di sini Harus di Liat Dalam dua sisi",0.0,Kelayakan Upah
Assallamualaikum pak gubernur ikutan hadir rapat meskipun aku bukan karyawan sekedar pengen tau aja Langsung dari penjelasan dari pak gubernur  wassallam terima kasih.,0.0,Kebijakan Pemprov
"Buruh mau sesuai resiko kerja,bos nya tak mau,😢ujungnya ngancam pindah,derita buruh😢",0.0,Kelayakan Upah
Semua masalah bisa di selesaikan KDM. cerdas banget ya bapa aing semua masalah dia paham. ❤,0.0,Lain-lain
Lebih baik jgn memaksakan dan terima saja sesuai kemampuan perusahaan..krn klu dipaksakan bisa² bangkrut dan jadi pengangguran,0.0,Lain-lain
Bupati  Purwakarta om Jen ternyata kurang mengikuti arahan kdm mau bermain di belqkang,0.0,Lain-lain
Aslm pak kdm lubuk Linggau hadir sehat selalu kang dedi,0.0,Lain-lain
SELALU hadir garut cibatu,0.0,Lain-lain
"Cerdas KDM....benar logikanya kdm ini....pemerintah pusat menetapkan Rumusan pengupahan....namun nilai alfa (kontanta?) ditetapkan oleh pihak buruh (Serikat Pekerja) dengan Pihak Perusahaan (Bipartit).
Rumusan pengupahan harus bersifat fleksibel mengikuti kondisi keuangan ( untung/rugi) petusahaan......👍",0.0,Kelayakan Upah
Assalamualaikum ini baru gubernur yang memikirkan rakyat kerjanya nyata dari jalan yg mulus dan membangunkan rumah yang terdampak bencana makasih banyak Bp KDM ❤❤❤🤲🏻🤲🏻🤲🏻🤲🏻,0.0,Tuntutan Keadilan
"Tah darengekeun ku jalma nu tukang demo, cik atuh sagala rupa teh ulah sok bari aremosi, kurang kumaha gubernur mah transparan dina sagala rupa urusan oge.",0.0,Kebijakan Pemprov
"orang kalau sdh slese dng dirinya ya KDM.. jd apapun itu beliau slalu tegak lurus, jd tdk ada beban politik dan hutang dng orang, skrg orang yg macam2 dan tukang tipu kpd rakyat akan slalu gerah melihat kebijakan KDM.. Insya Allah KDM tdk bisa terbeli walau itu diberikan uang segunung..",0.0,Tuntutan Keadilan
KDM gubernur yang terbaik se-Indonesia 🔥👍👍👍,0.0,Kebijakan Pemprov
Opsen gmn woy.. korupsi terselubung tuh.. kdm harus klarifikasi kenyataannya opsen di bebankan juga ke rakyat .dulu katanya hanya pemisahan pembagian pajak ke pusat dan daerah tp nyatanya berbeda..terus terang sy kecewa statement pejabat berbeda dengan keadaan sebenarnya,0.0,Tuntutan Keadilan
SAE,0.0,Lain-lain
Ciparay hadir ☝️,0.0,Lain-lain
🐅⭐👍👍⭐⭐⭐🐅⭐⭐⭐,0.0,Lain-lain
"tah dangu ! sesuai fakta, tong ngadengeken isu ai saria",0.0,Lain-lain
Assalamualaikum wr wb bpk Gubernur Jawa Barat 🙏 salam sejahtera sehat selalu dan semoga sukses terus 👍💪💪😍,0.0,Optimisme Ekonomi
Makanya buruh gajinya GK naik2 karna perusahaan KLO ad pencalonan gubernur memberi modal dan dukungan setelah terpilih gubernur nya terjerat politik  GK bisa naikan gaji,2.0,Harga Pangan
Welllll Welll Welll PK kdm,0.0,Lain-lain
Kab Bandung gimama pak,0.0,Lain-lain
"Gas terus KDM jangan kendor, mereka yg terailuasi dgn politik 2029 takut kesaing calon PRESIDEN, makanya Bapak Aing tetep Guberbur  dua periode di JABAR aja.
Biar rakyat Jabar sejahtera dulu.",0.0,Harga Pangan
Sampurasun wargi jabar cilangkara serang baru hadirr.,0.0,Optimisme Ekonomi
"Minta gaji besar, perusahaan kolaps, PHK karyawan, dan akhirnya pengangguran bertambah bnyk 🤦",0.0,Kelayakan Upah
"Iluan miting pak, najan teu menang UMK Komo umsk tengarti",0.0,Kelayakan Upah
Pemimpin yang sesungguhnya tegak lurus dalam bekerja.,0.0,Optimisme Ekonomi
Keinginan apindo upah murah keinginan butuh upah gede keinginan pemerintah buruh dan pengusaha jalan,0.0,Tuntutan Keadilan
"Harus nya buruh tonton nih, udah gak terbuka gimana gubernur jabar super transparan begini, kita jadi tahu dan ngerti tentang pengupahan,, saya yang awam aja jadi ngerti, apindo aja mempercayakan dan ikut gubernur",0.0,Kelayakan Upah
MAJALENGKA biaya hidup sama dengan Jabodetabek UMK 2jt/bulan untuk 9jam kerja/hari dan 54jam kerja/Minggu 😢,0.0,Kelayakan Upah
"Gubernur paling cerdas di seluruh indonesia, mungkin dunia,bapak aing mantap jiwa",0.0,Kebijakan Pemprov
Masyaallah panutanku Sehat selalu 🤲,0.0,Lain-lain
jombang jatim selalu mendukung KDM,0.0,Lain-lain
"Salam,dari SERANG-BANTEN 😊",0.0,Lain-lain
"Soal gaji itu urusan perusahaan n pekerja, pemerintah tingkat provinsi serta kabupaten/kota hanya menetapkan tingkat kelayakan hidup di beberapa daerah bukan menetapkan detail yg harus dibyar perusahaan ke karyawannya, karena itu bukan kewenangan gubernur. Karena KDM hanya bisa menetapkan standart hidup layak bagi buruh sesuai dgn kemampuan perusahaan tersebut. Tau cara merumuskan soal ump n umsk dl serta kewenangan gubernurnya smp mana 🙏🙏",1.0,Kelayakan Upah
Noh kasus ormas mintak jata sama ivestor noh  urus  KSPI gak ada lapangan kerja triak triak terus ada investor malah kalian usikk kurang apa si KDM ini jangan percaya lebaga lembaga itu lembaga gak ada guna itu kalau ada  kenaikan gaji ajh  ada dia tapi kalau karyawan ada masala hilangg gak tanggung jawaab,0.0,Harga Pangan
Kdm sungguh cerdas,0.0,Lain-lain
indramayu hadir,0.0,Lain-lain
Hadir,0.0,Lain-lain
Probolinggo jatim hadir... Pak dedi...,0.0,Lain-lain
InsyaAlloh KDM tetap istiqomah. Aamiin,0.0,Lain-lain
"Vidio ini jelas sekali Makna sosial nya: MENCERDASKAN KEHIDUPAN BANGSA.

Kita masyarakat jadi tau ,terang benderang rumusan nya.
Dan bapak aing jelas ikut andil dalam penetapan tersebut.",0.0,Lain-lain
Lembaga kocak pak kok di percayaaa  😂😂😂😂😂,0.0,Lain-lain
Enak jaman Soeharto kenaikan gajih TDK diikuti dgn kenaikan harga sembako dll termasuk BBM,1.0,Harga Pangan
Bung said iqbal makin panas ni😂😂. D kootenkan lg wkwk.. suka hati pak gubernur lah mau d kontenkan apa ngak.. toh hasil y buat masyarakat jg,0.0,Kebijakan Pemprov
Tayangan yg sangat mengedukasi... 👍🙏,0.0,Lain-lain
Subang gmn bapa,0.0,Lain-lain
Semoga sehat-sehat selalu KDM,0.0,Lain-lain
Mantab gubernur aing,0.0,Kebijakan Pemprov
"Sehat selalu bapak aing gubernur terbaik di Indonesia dan tetap semangat memimpin Jawa Barat istimewa 2 periode langsung, bapak aing gubernur cerdas dan merakyat krja nyata",0.0,Tuntutan Keadilan
